Rank,Business,Owner,Category,Town,WhatsApp number,WhatsApp status,Website,Owner-direct,Google shown,Source
41,TT Mobile Tyre Fitting,not named,Mobile Tyre Fitting,Birmingham,07762 455291,CONFIRMED (wa.me),ttmobiletyre.co.uk,Yes - owner-operated,5.0 / 80 Google,Verified (site)
42,Tyres On The Go,not named,Mobile Tyre Fitting,Leeds,07375 249399,CONFIRMED (wa.me),tyres-onthego.co.uk,Yes - family-run,5.0 / 161 Google,Verified (site)
43,Cardiff Window Cleaner Ltd,Ben Williams(?),Window Cleaning,Cardiff/Penarth,07971 048128,CONFIRMED (wa.me),cardiffwindowcleanerltd.co.uk,Yes - family-run since 1978,None shown,Verified (site)
44,Live Line Electrical,Greg Piskozub,Electrician,Bristol,07590 517472,CONFIRMED (WhatsApp),livelineelectrical.co.uk,Yes - owner does the work,5.0 Google,Verified (site)
45,Marshall's Detailing,Marshall,Mobile Car Valeting,Otley/Leeds,07730 039634,CONFIRMED (wa),marshallsdetailing.co.uk,Yes - owner-operated,None shown,Verified (site)
46,Pro Mobile Detailing,not named,Mobile Car Valeting,Leeds,07719 717482,CONFIRMED (wa.me),promobiledetailing.co.uk,Yes - owner-operated,4.9 Google,Verified (site)
47,Bristol Handyman Team Ltd,not named,Handyman,Bristol (Easton),07947 979206,CONFIRMED (chat link),bristolshandymanteam.co.uk,Yes - owner-operated,None shown,Verified (site)
48,Handyman in Bristol,not named,Handyman,Bristol,07511 455119,CONFIRMED (wa.me),handymaninbristol.co.uk,Likely - small,None shown,Verified (site)
49,Mike Harris Aerial & Satellite,Mike Harris,TV Aerial Installer,Birmingham,07700 178512,CONFIRMED (wa.me),mikeharrisaerialandsatellite.co.uk,Owner-branded (Aerial Services Scotland Ltd),None shown,Verified (site)
50,Jet Pressure Pro,not named,Jet/Pressure Washing,Nottingham,07858 057187,CONFIRMED (wa.me),jetpressure.pro,Likely - small,None shown,Verified (site)
51,Yorkshire Ultra Pressure Wash,not named,Pressure Washing,Leeds/Wakefield,07475 192260,CONFIRMED (wa.me),yorkshireultrapressurewash.co.uk,Likely - small,None shown,Verified (site)
52,Trusted Cleanerz Ltd,not named,Pressure Washing,Leeds/Bradford,07858 424693,CONFIRMED (wa.me),trustedcleanerz.com,Small Ltd,5-star Google (no count),Verified (site)
53,Pressure Washing Leeds (JetReady),not named,Pressure Washing,Ilkley/Leeds,07718 782828,CONFIRMED (wa.me),jetready.co.uk,Small Ltd,None shown,Verified (site)
54,Aztec Valeting & Detailing,not named,Mobile Car Valeting,Leeds,(WhatsApp chat link) tel 01924 682662,CONFIRMED (wa.me/message),aztecvaleting.co.uk,Unclear - small,None shown,Verified (site)
55,Birmingham Mobile Tyres,not named,Mobile Tyre Fitting,Birmingham,07737 428534,CONFIRMED (wa.me),birminghammobiletyres.co.uk,No - network/24-7 brand,None shown,Verified (site)
56,1st Mobile Tyres,not named,Mobile Tyre Fitting,Cardiff,07470 868682,CONFIRMED (wa.me),1stmobiletyres.co.uk,No - network,5.0 / 900+ (claim),Verified (site)
57,Qwik Mobile Tyre Fitting,not named,Mobile Tyre Fitting,Leeds,07356 083877,CONFIRMED (wa.me),qwikmobiletyrefitting.co.uk,No - network,None shown,Verified (site)
58,CarPal,not named,Mobile Tyre Fitting,Birmingham,07459 623445,CONFIRMED (wa.me),carpal.uk.com,No - network,None shown,Verified (site)
59,TV Aerials UK (James Wilson),James Wilson (trading name),TV Aerial Installer,Cardiff,07426 059314,CONFIRMED (wa.me),tv-aerials-uk.co.uk,No - trading name of Aerial Services Scotland Ltd,None shown,Verified (site)
60,Archimede,not named,Appliance Repair,Leeds/Manchester,07742 904665,CONFIRMED (wa.me),archimede-leeds.co.uk,No - nationwide network,None shown,Verified (site)
